Geography,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ward 1,0.6,0.7,1.1,1.6,2.5,2.1,1.5,1.5,0.8,0.4,0.4,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.2,0.2
Ward 2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2
Ward 3,0.4,1.0,1.4,1.9,1.8,1.9,1.6,1.5,1.4,0.9,0.7,0.6,0.5,0.6,0.6,0.2,0.1,0.4,0.3,0.5
Ward 4,0.9,1.1,1.7,2.1,2.0,2.5,2.1,2.2,1.6,0.9,0.8,0.9,0.8,0.7,0.7,0.3,0.1,0.5,0.5,0.4
Ward 5,1.3,1.9,2.8,3.0,2.7,2.9,2.8,2.8,1.7,1.4,1.3,1.0,1.1,1.0,0.9,0.4,0.2,0.8,0.6,0.6
Ward 6,2.7,4.1,5.1,5.3,4.5,3.9,3.8,4.3,2.4,2.2,1.9,2.0,2.1,2.3,2.0,0.6,0.5,1.6,1.1,1.5
Ward 7,2.8,4.1,5.0,5.2,4.5,4.3,3.9,4.4,2.7,2.2,2.1,1.9,1.8,1.8,1.6,0.8,0.4,1.5,1.1,1.3
Ward 8,2.7,3.6,4.4,4.9,4.0,4.1,3.9,4.2,2.6,2.4,2.2,2.1,2.2,2.3,1.9,0.7,0.6,1.7,1.4,1.5
Ward 9,3.4,4.5,5.6,5.3,4.3,4.0,3.5,4.2,2.8,1.9,2.1,1.9,2.1,2.0,1.6,0.6,0.5,1.5,1.1,1.2
Ward 10,1.2,1.7,2.2,2.6,2.8,2.4,2.2,2.6,1.6,1.2,1.0,0.9,0.9,0.9,0.6,0.3,0.2,0.6,0.3,0.5
Ward 11,0.5,0.4,0.8,1.2,1.2,1.6,1.2,1.3,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.2
Ward 12,0.6,1.1,1.9,3.3,4.3,4.3,2.9,2.9,2.2,1.2,0.8,0.9,0.8,0.5,0.6,0.2,0.1,0.4,0.3,0.3
Ward 13,0.7,0.9,1.4,2.6,3.1,3.2,2.6,2.8,2.0,1.1,0.8,0.7,1.0,0.7,0.7,0.2,0.1,0.6,0.3,0.4
Ward 14,1.0,1.4,2.3,4.5,5.4,6.0,3.9,3.6,2.5,1.8,1.3,1.0,0.9,0.7,0.6,0.2,0.2,0.6,0.4,0.5
Ward 15,2.2,3.0,4.5,6.2,6.0,5.5,4.1,4.2,2.7,2.1,1.6,1.2,1.1,1.1,0.9,0.3,0.2,0.7,0.5,0.8
Ward 16,4.7,7.1,9.8,10.2,7.0,5.9,4.4,5.2,3.0,2.2,2.0,1.7,2.2,1.8,1.4,0.5,0.6,1.4,1.0,1.2
Ward 17,3.7,4.5,5.8,6.3,5.0,5.1,3.9,4.8,3.1,2.6,2.2,2.1,2.1,1.9,1.9,0.7,0.5,1.3,1.2,1.5
Ward 18,2.1,2.6,3.2,4.3,4.2,4.8,4.1,4.7,2.9,2.1,1.9,1.7,1.9,1.7,1.5,0.5,0.3,1.3,0.7,0.9
Ward 19,0.9,1.0,1.4,1.6,1.6,1.9,1.8,2.1,1.2,1.0,0.9,0.9,0.8,0.9,0.8,0.2,0.2,0.6,0.4,0.6
Ward 20,3.2,4.6,7.3,8.4,6.3,5.8,4.4,3.9,2.8,2.0,1.9,1.7,1.4,1.5,1.2,0.6,0.3,1.0,0.7,1.1
Ward 21,3.3,3.9,4.6,4.8,4.0,4.0,3.6,4.1,2.8,2.2,2.1,2.2,2.1,2.0,1.9,0.6,0.6,1.5,1.1,1.4
Ward 22,1.2,1.7,2.7,3.8,4.3,4.4,3.7,3.9,2.2,1.6,1.3,1.0,0.9,0.7,0.7,0.3,0.2,0.6,0.4,0.4
Ward 23,0.7,1.0,1.9,3.1,3.8,4.6,3.6,3.4,2.3,1.3,1.0,1.1,0.8,0.8,0.7,0.3,0.1,0.6,0.3,0.4
Ward 24,2.9,4.2,5.9,6.9,6.2,5.4,4.1,5.0,3.1,2.0,1.9,1.9,1.5,1.8,1.7,0.6,0.4,1.2,0.9,1.0
Ward 25,0.6,0.8,1.3,2.3,2.7,3.0,2.6,2.4,1.4,0.9,0.7,0.5,0.7,0.4,0.5,0.2,0.1,0.1,0.2,0.2
